Bairros_SP,Bairros_Fortaleza,Bairros_RJ,Causa_Afastamento_1,Causa_Afastamento_2,Causa_Afastamento_3,Motivo_Desligamento,CBO_Ocupacao_2002,CNAE_2_0_Classe,CNAE_95_Classe,Distritos_SP,Vinculo_Ativo_31_12,Faixa_Etaria,Faixa_Hora_Contrat,Faixa_Remun_Dezem__SM_,Faixa_Remun_Media__SM_,Faixa_Tempo_Emprego,Escolaridade_apos_2005,Qtd_Hora_Contr,Idade,Ind_CEI_Vinculado,Ind_Simples,Mes_Admissao,Mes_Desligamento,Mun_Trab,Municipio,Nacionalidade,Natureza_Juridica,Ind_Portador_Defic,Qtd_Dias_Afastamento,Raca_Cor,Regioes_Adm_DF,Vl_Remun_Dezembro_Nom,Vl_Remun_Dezembro__SM_,Vl_Remun_Media_Nom,Vl_Remun_Media__SM_,CNAE_2_0_Subclasse,Sexo_Trabalhador,Tamanho_Estabelecimento,Tempo_Emprego,Tipo_Admissao,Tipo_Estab,Tipo_Estab_1,Tipo_Defic,Tipo_Vinculo,IBGE_Subsetor,Vl_Rem_Janeiro_SC,Vl_Rem_Fevereiro_SC,Vl_Rem_Marco_SC,Vl_Rem_Abril_SC,Vl_Rem_Maio_SC,Vl_Rem_Junho_SC,Vl_Rem_Julho_SC,Vl_Rem_Agosto_SC,Vl_Rem_Setembro_SC,Vl_Rem_Outubro_SC,Vl_Rem_Novembro_SC,Ano_Chegada_Brasil,Ind_Trab_Intermitente,Ind_Trab_Parcial,DIV_CNAE_20
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991105,47121,52132,"           {ñ class}",1,7,6,2,2,5,7,44,55,0,1,0,{ñ,0,160030,10,2135,0,0,8,0,"0000001102,00","000001,00","0000001132,44","000001,02",4712100,2,2,"    30,9",0,1,"CNPJ                ",0,10,16,"000000011,00","000000011,02","000000011,02","000000011,02","000000011,02","000001469,33","000000011,02","000000011,02","000000011,02","000000011,02","000000011,02",0,0,0,47
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991105,47121,52132,"           {ñ class}",1,4,6,2,2,4,7,44,28,0,1,0,{ñ,0,160010,10,2135,0,0,8,0,"0000001102,00","000001,00","0000001132,44","000001,02",4712100,1,2,"    15,9",0,1,"CNPJ                ",0,10,16,"000000011,00","000000011,02","000000011,02","000000011,02","000000011,02","000000011,02","000000011,02","000000011,02","000001469,33","000000011,02","000000011,02",0,0,0,47
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991105,47121,52132,"           {ñ class}",1,7,6,2,2,4,7,44,56,0,1,0,{ñ,0,160010,10,2135,0,0,8,0,"0000001102,00","000001,00","0000001132,44","000001,02",4712100,1,2,"    15,9",0,1,"CNPJ                ",0,10,16,"000000011,00","000000011,02","000000011,02","000000011,02","000000011,02","000000011,02","000000011,02","000000011,02","000001469,33","000000011,02","000000011,02",0,0,0,47
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991105,47121,52132,"           {ñ class}",1,5,6,2,1,1,7,44,34,0,1,11,{ñ,0,160030,10,2135,0,0,8,0,"0000001102,00","000001,00","0000001102,00","000001,00",4712100,1,2,"     1,9",1,1,"CNPJ                ",0,10,16,"000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000011,02",0,0,0,47
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991105,49116,60100,"           {ñ class}",1,5,5,5,4,6,9,40,35,0,0,0,{ñ,150420,150420,10,2046,0,0,4,0,"0000002392,45","000002,17","0000002774,05","000002,51",4911600,1,8,"    38,3",0,1,"CNPJ                ",0,10,20,"000003677,44","000003313,17","000002721,02","000002694,93","000002996,49","000002403,45","000002185,59","000002293,77","000002245,57","000002946,90","000003417,92",0,0,0,49
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991105,42995,45292,"           {ñ class}",1,3,6,4,3,2,7,44,23,0,0,7,{ñ,150530,150530,10,2062,0,0,8,0,"0000001699,29","000001,54","0000001918,01","000001,73",4299599,1,9,"     5,7",2,1,"CNPJ                ",0,10,15,"000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000001231,03","000002105,56","000001824,40","000002314,74","000002333,05",0,0,0,42
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991105,42995,45292,"           {ñ class}",1,3,6,4,3,4,7,44,23,0,0,0,{ñ,150530,150530,10,2062,0,0,8,0,"0000001699,29","000001,54","0000002185,95","000001,98",4299599,1,9,"    17,6",0,1,"CNPJ                ",0,10,15,"000002038,23","000002671,05","000002183,77","000001727,55","000002098,56","000002527,72","000001996,34","000002114,89","000002166,06","000003221,68","000001786,28",0,0,0,42
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991105,42995,45292,"           {ñ class}",1,5,6,4,3,4,7,44,31,0,0,0,{ñ,150530,150530,10,2062,0,0,8,0,"0000001699,44","000001,54","0000002120,08","000001,92",4299599,1,9,"    17,6",0,1,"CNPJ                ",0,10,15,"000002671,09","000002766,05","000002229,55","000001995,53","000002058,83","000002279,91","000001980,36","000001926,70","000001824,69","000002004,95","000002003,95",0,0,0,42
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991105,49116,60100,"           {ñ class}",1,7,5,6,6,6,7,40,52,0,0,0,{ñ,150420,150420,10,2046,0,0,8,0,"0000004290,63","000003,90","0000004745,83","000004,31",4911600,1,8,"    38,3",0,1,"CNPJ                ",0,10,20,"000004214,48","000003910,18","000003713,49","000003804,46","000005889,93","000004378,60","000004402,76","000005277,82","000005745,60","000006925,51","000004396,50",0,0,0,49
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991105,49116,60100,"           {ñ class}",1,5,5,5,4,4,7,40,33,0,0,0,{ñ,150420,150420,10,2046,0,0,2,0,"0000002327,68","000002,11","0000002412,73","000002,18",4911600,1,8,"    21,4",0,1,"CNPJ                ",0,10,20,"000002330,05","000002002,62","000002386,26","000002171,29","000002659,62","000002707,05","000002388,07","000002606,84","000002158,40","000002357,45","000002857,52",0,0,0,49
